Age,EstimatedSalary,Purchased
36,60290,0
52,138290,1
53,82290,1
41,52290,0
48,30290,1
48,131290,1
41,60290,0
41,72290,0
42,75290,0
36,118290,1
47,107290,1
38,51290,0
48,119290,1
42,65290,0
40,65290,0
57,60290,1
36,54290,0
58,144290,1
35,79290,0
38,55290,0
39,122290,1
53,104290,1
35,75290,0
38,65290,0
47,51290,1
47,105290,1
41,63290,0
53,72290,1
54,108290,1
39,77290,0
38,61290,0
38,113290,1
37,75290,0
42,90290,1
37,57290,0
36,99290,1
60,34290,1
54,70290,1
41,72290,0
40,71290,1
42,54290,0
43,129290,1
53,34290,1
47,50290,1
42,79290,0
42,104290,1
59,29290,1
58,47290,1
46,88290,1
38,71290,0
54,26290,1
60,46290,1
60,83290,1
39,73290,0
59,130290,1
37,80290,0
46,32290,1
46,74290,0
42,53290,0
41,87290,1
58,23290,1
42,64290,0
48,33290,1
44,139290,1
49,28290,1
57,33290,1
56,60290,1
49,39290,1
39,71290,0
47,34290,1
48,35290,1
48,33290,1
47,23290,1
45,45290,1
60,42290,1
39,59290,0
46,41290,1
51,23290,1
50,20290,1
36,33290,0
49,36290,1
